Ax,Ay,Az
-0.033689,-0.024703,-0.040808
-0.01768,-0.034852,-0.0027727
-0.00034303,-0.014235,0.042832
0.0047667,-0.032974,0.043571
-0.011091,-0.083515,0.034126
-0.033951,-0.11072,0.034798
-0.033509,-0.12047,0.021098
-0.025184,-0.11431,0.0061104
-0.036308,-0.088279,0.008491
-0.030354,-0.075508,0.0085367
0.016917,-0.05241,-0.0080134
0.053604,0.01222,-0.0043096
0.04037,0.078243,0.033098
-0.0041209,0.14457,0.031135
-0.035225,0.1962,-0.024034
-0.01063,0.1359,-0.060164
0.050039,-0.0069208,-0.085947
0.075755,-0.071024,-0.11587
0.059694,-0.018908,-0.086444
0.050433,0.09416,-0.017588
0.049589,0.22952,0.012008
0.024239,0.28277,0.015133
-0.01678,0.15625,0.010439
-0.038896,-0.015263,-0.021364
-0.037159,-0.042036,-0.044888
-0.02976,-0.0058885,-0.037451
-0.026611,-0.025408,-0.050315
-0.025187,-0.0093901,-0.092331
-0.021458,0.055437,-0.11176
-0.015095,0.056979,-0.092809
-0.0055238,0.033616,-0.057964
0.0033627,0.070316,-0.030977
-0.0014432,0.1124,-0.02463
-0.016797,0.097187,-0.033774
-0.020801,0.062433,-0.057631
-0.019232,0.050552,-0.10532
-0.028054,0.029444,-0.14977
-0.025492,-0.029997,-0.1233
-0.010512,-0.093705,-0.029492
-0.019031,-0.11694,0.0099351
-0.03597,-0.073198,-0.035811
-0.030965,0.014929,-0.016761
-0.029543,0.059186,0.089893
-0.03864,0.01464,0.094617
-0.024531,-0.048471,-0.031924
0.0076311,-0.051511,-0.092853
0.027727,-0.027181,-0.026968
0.033052,-0.04223,0.012997
0.02751,-0.061045,-0.0438
0.014087,-0.044728,-0.068902
0.013228,-0.043951,0.0081478
0.031466,-0.04764,0.038012
0.038875,0.014018,-0.079952
0.013334,0.10867,-0.19152
-0.024874,0.16783,-0.13427
-0.037721,0.17188,0.012055
-0.013797,0.11475,0.05975
0.016017,0.041748,-0.0178
0.017714,0.012011,-0.084832
-0.001199,-0.0085265,-0.064759
-0.016566,-0.051614,-0.0073208
-0.021025,-0.046715,0.014627
-0.011289,0.045465,-0.017285
-0.0011646,0.1328,-0.033512
-0.016183,0.11404,0.021626
-0.032647,0.019977,0.067921
-0.013887,-0.027498,0.037055
0.0092073,0.016156,0.0071962
0.0044383,0.072199,0.031862
0.0057131,0.085473,0.047887
0.031071,0.096347,0.018699
0.046142,0.15978,-0.02316
0.039252,0.26285,-0.034257
0.026814,0.27474,0.023764
0.016178,0.10057,0.11363
0.012686,-0.067356,0.11239
0.0045216,-0.011326,0.00035978
-0.019715,0.095783,-0.070506
-0.022979,0.019738,-0.0079437
0.022149,-0.1218,0.095364
0.077752,-0.17883,0.14224
0.09042,-0.20734,0.11966
0.044243,-0.20256,0.016551
-0.017059,-0.083489,-0.10078
-0.028526,0.037728,-0.07814
0.012745,-0.001524,0.042961
0.060592,-0.089722,0.048015
0.069129,-0.043128,-0.057755
0.024817,0.042909,-0.060627
-0.020777,0.023376,0.05981
-0.013228,-0.042242,0.11604
0.019847,-0.064243,0.043804
0.028682,-0.02653,-0.03176
0.017595,0.043518,-0.025359
0.0067827,0.094866,-0.013331
-0.014139,0.11814,-0.078535
-0.054381,0.12664,-0.15167
-0.079064,0.14911,-0.11719
-0.055121,0.24106,0.013735
-0.0091502,0.32782,0.11614
0.018876,0.24907,0.10047
0.010611,0.075814,0.018104
-0.043034,0.00034883,-0.01235
-0.11624,-0.05527,0.085308
-0.161,-0.17389,0.29366
-0.060224,0.13472,0.34762
0.31854,1.2588,-0.11444
0.6225,1.968,-0.77143
0.28443,0.65539,-0.67008
-0.21156,-1.2354,0.10714
